freq,ipc,unit,geo\TIME_PERIOD	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 
A,AVI,NR,DE	20.5 	19.17 	23 	20 	30 	29.5 	39.25 	54.17 	48.67 	46.75 	37.67 	56 	50.6 	43.8 	30.57 	45.86 	58.42 	71.78 	78.87 	92.83 	99.25 	77.38 	105.83 	145.31 	148.69 	142.31 	144.37 	197.02 	202 	219.9 	193.43 	204.87 	215.69 	220.93 p
A,AVI,NR,DK	: 	2 	: 	2 	: 	1 	: 	1 	1 	: 	1 	: 	1 	1 	1 	: 	3 	2 	1 	1.67 	3 	: 	1 	6 	7.67 	4 	4 	3.11 	1 	10 	4 	7.5 	3 	2.67 p
A,AVI,NR,EA18	59.17 	50 	52 	56 	72 	83.5 	83.25 	115.67 	129.42 	123.75 	126.42 	122.5 	124.4 	107 	100.57 	100.31 	137.45 	161.94 	161.75 	172.33 	181.83 	206.2 	237.58 	290.3 	323.27 	317.56 	348.45 	452.44 	451.76 	488.06 	476.06 	534.17 	545.09 	474.67 p
A,AVI,NR,EA19	59.17 	50 	52 	56 	72 	83.5 	83.25 	115.67 	129.42 	123.75 	126.42 	122.5 	124.4 	107 	100.57 	100.31 	137.45 	161.94 	161.75 	172.33 	181.83 	206.2 	237.58 	291.3 	323.27 	317.56 	348.45 	452.44 	451.76 	488.06 	476.06 	534.17 	545.09 	474.67 p
A,AVI,NR,EL	: 	: 	: 	1 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2 	1 	2 	0.5 	1 	1 	: 	1 	: 	: 	: 	: 	: 	: 
A,AVI,NR,ES	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	0.5 	1 	: 	3 	2 	2 	10 	6 	6 	5 	6 	5 	9.5 	15.25 	19.33 	25.67 	25.5 	30.17 	32 	27.17 	38.33 	36.33 p
A,AVI,NR,EU27_2020	61.17 	54 	56 	60 	75 	87.5 	90.25 	121.67 	137.33 	126.75 	130.41 	125.5 	127.2 	110 	110.57 	104.31 	145.45 	168.94 	168.75 	183 	196.5 	215.2 	249.59 	305.8 	347.27 	330.57 	362.45 	465.64 	464.77 	520.4 	495.56 	551.35 	567.67 	490.33 p
A,AVI,NR,EU28	69.67 	72.5 	78 	85 	99.5 	107.5 	122.25 	157.17 	174.83 	163.75 	171.58 	158.5 	146.97 	126 	140.57 	121.74 	170.95 	201.44 	207.83 	228.92 	235.5 	265.51 	280.67 	347.4 	392.27 	376.6 	428.83 	530.71 	540.55 	612.75 	593.86 	650.52 	657.41 	583.45 p
A,AVI,NR,EX_SU	: 	: 	: 	: 	: 	: 	: 	: 	2 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,AVI,NR,FI	: 	: 	: 	1 	2 	1 	1 	: 	2 	3 	1 	1 	: 	2 	: 	: 	: 	: 	: 	1 	: 	1 	1 	5 	1 	: 	4 	2.33 	2 	2 	2.5 	2 	0.72 	: 
A,AVI,NR,FR	34.67 	26.5 	27 	22 	33 	47 	36 	48 	62.75 	65 	78.75 	54.5 	65.5 	49.2 	60 	42.45 	62.87 	63.33 	58.37 	58.17 	57.58 	85.83 	91.42 	104.19 	141.25 	134.02 	146.63 	204.66 	183.55 	186.92 	217.1 	251.2 	236.59 	178.82 p
A,AVI,NR,HK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	0.5 	1 	: 	: 	: 	: 	1 	: 
A,AVI,NR,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 
A,AVI,NR,HU	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	1 	: 	: 	: 	: 	1 	1 	: 	: 	: 	1 	: 	1 	0.25 	: 	: 
A,AVI,NR,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.5 	0.5 	1 	: 	1 	: 	: 	: 	1 	: 	1 	: 	: 	: 	: 	: 	: 	1 p
A,AVI,NR,IL	: 	: 	: 	0.5 	: 	1 	: 	: 	1.5 	1 	1 	3.17 	: 	1 	2.67 	1 	0.75 	4 	2 	2 	3 	5 	10.33 	6 	8 	7 	10 	9 	9 	7 	8 	8 	12 	5 p
A,AVI,NR,IN	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.33 	: 	: 	: 	0.2 	: 	1.25 	: 	0.75 	: 	1 	: 	2.75 	3 	1.35 p
A,AVI,NR,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.67 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,AVI,NR,IT	: 	2 	1 	6 	2 	: 	4 	3.5 	7 	3 	5 	8 	3 	6 	7 	3 	3 	14.33 	8 	7 	5 	9.67 	13 	13.5 	7 	13.33 	14.17 	9.58 	24 	29.75 	17 	29.5 	26 	15.25 p
A,AVI,NR,JP	1 	: 	3 	7 	4 	3 	6 	10 	12 	14 	11 	11 	10 	5 	5 	8 	4 	16 	19 	28.1 	41 	28 	25 	25 	17.75 	13 	12 	17 	27.14 	35.56 	47.5 	50.4 	36.2 	37 p
A,AVI,NR,KR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	0.33 	: 	1 	1 	: 	7 	7 	5 	2 	1 	2 	5 p
A,AVI,NR,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,AVI,NR,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,AVI,NR,LU	: 	: 	: 	: 	: 	: 	: 	: 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2 	0.33 	: 	3.75 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 
A,AVI,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	1 p
A,AVI,NR,MX	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	3.8 	2.75 	0.25 	0.14 p
A,AVI,NR,NL	2 	2.33 	1 	4 	1 	6 	2 	5 	4 	5 	2 	: 	0.8 	1 	3 	: 	2 	3 	2 	1 	2 	6.5 	7.5 	7.68 	7.33 	2.14 	6.2 	5.6 	6.71 	7.33 	4.33 	5.53 	13.75 	11.33 p
A,AVI,NR,NO	1 	1 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	2 	2 	: 	: 	1 	1 	: 	3 	3 	2 	: 	1 	1 	: 	2 	: 	1 	4 	1 	4 	1.5 	1 p
A,AVI,NR,NZ	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	0.2 	0.33 	: 	1 	2 	: 	: 	1 	2 	2 	0.64 	2 	2.8 	2 	1 	: 	0.5 p
A,AVI,NR,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	0.5 	1 	2 	1.43 	1.33 	: 
A,AVI,NR,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	1 	: 	1 p
A,AVI,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	0.33 	: 	: 	: 	: 	: 	: 
A,AVI,NR,RU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2 	8 	2 	4.43 	5.5 	1.8 	1.86 	3 	5 	4 	1 	4.67 	4 	6 	4 	3 	5 	5 	3 	4 	4 	2 	0.5 p
A,AVI,NR,SE	2 	2 	3 	2 	3 	2 	7 	5 	6.92 	3 	3 	3 	1.8 	1 	8 	4 	5 	5 	5 	9 	10.67 	9 	11 	6.5 	15.33 	9 	9 	9.75 	10.5 	21.33 	12.5 	8 	17.75 	13 p
A,AVI,NR,SG	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	0.5 	: 	: 	4 	: 	2 	2 	: 	4.33 p
A,AVI,NR,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	2.5 	1 	: 
A,AVI,NR,TR	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	1.33 	: 	: 	: 	1.5 	1 	1 	1 p
A,AVI,NR,TW	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	0.2 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	2 	1 	1.17 	: 
A,AVI,NR,UK	8.5 	18.5 	22 	25 	24.5 	20 	32 	35.5 	37.5 	37 	41.17 	33 	19.77 	16 	30 	17.43 	25.5 	32.5 	39.08 	45.92 	39 	50.31 	31.08 	41.6 	45 	46.03 	66.38 	65.07 	75.78 	92.35 	98.3 	99.17 	89.74 	93.12 p
A,AVI,NR,US	44 	40.5 	77 	61.5 	64.5 	108.5 	117 	119.5 	104.67 	122.75 	107.25 	131.8 	103.78 	97.75 	100.33 	137.1 	156.42 	163.5 	155.75 	170.05 	211.18 	195.99 	217.17 	226.25 	201.67 	253.19 	256.31 	226.33 	231.08 	232.03 	280.67 	385.37 	536.4 	547.6 p
A,AVI,NR,WORLD	117 	125 	161 	157 	171 	233 	251.5 	298 	304 	311 	302 	312 	277 	245 	265 	290 	349 	398 	412 	465 	526 	516 	556 	627 	659 	677.571 	740 	835 	869 	950 	984 	1158 	1301 	1280 p
A,AVI,NR,ZA	: 	: 	1 	: 	: 	1 	: 	: 	: 	: 	0.5 	: 	: 	: 	1 	1 	1 	: 	: 	: 	: 	: 	: 	: 	: 	2 	: 	: 	: 	1 	2 	: 	1 	: 
A,AVI,P_MACT,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.519 	0.524 	1.307 	0.261 	0.649 	0.518 	2.917 	0.858 	0.535 	1.028 	0.881 	1.238 	0.323 	0.96 	2.14 	1.232 	2.237 	1.398 	1.077 p
A,AVI,P_MACT,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.245 	: 	0.717 	1.594 	0.475 	0.117 	0.571 	1.365 	1.083 	1.477 	1.128 	0.553 	1.297 	1.452 	1.109 	0.628 	0.417 	0.919 	0.185 	0.613 	0.875 p
A,AVI,P_MACT,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.15 	: 
A,AVI,P_MACT,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.919 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,AVI,P_MACT,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.193 	0.195 	: 	0.196 	0.196 	: 	: 	: 	: 	: 	0.189 	: 	: 	0.38 	: 
A,AVI,P_MACT,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.296 	1.119 	0.781 	1.177 	1.496 	1.834 	2.006 	2.341 	2.508 	1.953 	2.668 	3.657 	3.72 	3.482 	3.498 	4.752 	4.861 	5.29 	4.654 	4.974 	5.216 	5.296 p
A,AVI,P_MACT,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.35 	0.354 	0.363 	: 	1.072 	0.712 	0.356 	0.587 	1.058 	: 	0.35 	2.097 	2.647 	1.383 	1.37 	1.067 	0.338 	3.393 	1.368 	2.565 	1.032 	0.924 p
A,AVI,P_MACT,EA18	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.169 	1.157 	1.218 	1.272 	1.429 	1.626 	1.956 	2.156 	2.086 	2.263 	2.908 	2.874 	3.098 	3.021 	3.402 	3.446 	2.996 p
A,AVI,P_MACT,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.143 	1.203 	1.257 	1.412 	1.608 	1.942 	2.133 	2.065 	2.24 	2.88 	2.846 	3.069 	2.992 	3.371 	3.414 	2.969 p
A,AVI,P_MACT,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.434 	0.213 	0.421 	0.104 	0.204 	0.203 	: 	0.201 	: 	: 	: 	: 	: 	: 
A,AVI,P_MACT,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.032 	0.064 	: 	0.19 	0.125 	0.122 	0.601 	0.353 	0.341 	0.277 	0.316 	0.253 	0.466 	0.721 	0.888 	1.145 	1.106 	1.297 	1.37 	1.159 	1.635 	1.567 p
A,AVI,P_MACT,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.239 	1.522 	1.704 	1.617 	1.821 	2.236 	2.256 	2.55 	2.476 	2.718 	2.727 	2.414 p
A,AVI,P_MACT,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.805 	: 	: 	: 	: 	: 	0.391 	: 	0.384 	0.383 	1.923 	0.386 	: 	1.511 	0.871 	0.74 	0.747 	0.936 	0.746 	0.268 	: 
A,AVI,P_MACT,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.697 	2.017 	2.451 	1.721 	2.533 	2.543 	2.329 	2.291 	2.246 	3.318 	3.501 	3.853 	5.18 	4.88 	5.306 	7.347 	6.544 	6.606 	7.642 	8.838 	8.257 	6.214 p
A,AVI,P_MACT,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.555 	: 	: 	: 	: 	: 	: 	: 
A,AVI,P_MACT,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.249 	: 	: 	: 	: 	0.24 	0.241 	: 	: 	: 	0.24 	: 	0.238 	0.059 	: 	: 
A,AVI,P_MACT,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.333 	0.321 	0.608 	: 	0.566 	: 	: 	: 	0.512 	: 	0.467 	: 	: 	: 	: 	: 	: 	0.462 p
A,AVI,P_MACT,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.263 	0.309 	0.132 	0.132 	0.627 	0.346 	0.301 	0.213 	0.408 	0.544 	0.56 	0.288 	0.549 	0.58 	0.393 	0.97 	1.209 	0.692 	1.196 	1.029 	0.604 p
A,AVI,P_MACT,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.611 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,AVI,P_MACT,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11.344 	1.821 	: 	19.831 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.019 	: 
A,AVI,P_MACT,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.97 	0.986 p
A,AVI,P_MACT,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.113 	0.14 	0.413 	: 	0.263 	0.384 	0.253 	0.124 	0.245 	0.782 	0.886 	0.902 	0.855 	0.249 	0.714 	0.635 	0.753 	0.817 	0.492 	0.634 	1.552 	1.268 p
A,AVI,P_MACT,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.287 	0.853 	: 	0.424 	0.422 	: 	0.821 	: 	0.388 	1.55 	0.386 	1.525 	0.562 	0.371 p
A,AVI,P_MACT,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.059 	: 	: 	: 	: 	0.029 	0.058 	0.117 	0.083 	0.077 	: 
A,AVI,P_MACT,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.18 	: 	: 	: 	: 	0.184 	: 	0.189 p
A,AVI,P_MACT,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.087 	: 	: 	: 	: 	: 	: 	0.033 	: 	: 	: 	: 	: 	: 
A,AVI,P_MACT,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.397 	0.225 	1.811 	0.898 	1.119 	1.127 	1.131 	2.023 	2.375 	1.962 	2.391 	1.407 	3.307 	1.909 	1.888 	2.015 	2.144 	4.346 	2.526 	1.595 	3.508 	2.541 p
A,AVI,P_MACT,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.372 	: 	: 	0.933 	0.369 	: 
A,AVI,P_MACT,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.059 	: 	: 	: 	0.059 	0.038 	0.037 	0.036 p
A,AVI,P_MACT,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.695 	0.564 	1.058 	0.613 	0.891 	1.129 	1.35 	1.568 	1.349 	1.73 	1.06 	1.408 	1.512 	1.529 	2.164 	2.107 	2.423 	2.939 	3.112 	3.114 	2.793 	2.875 p
A,AVI,P_MHAB,AT	0.133 	: 	: 	0.132 	0.265 	: 	: 	0.528 	0.396 	0.132 	: 	: 	0.513 	0.381 	: 	0.252 	0.251 	0.628 	0.125 	0.313 	0.25 	1.418 	0.413 	0.263 	0.491 	0.427 	0.606 	0.161 	0.481 	1.08 	0.623 	1.134 	0.714 	0.553 p
A,AVI,P_MHAB,AU	: 	0.402 	: 	0.13 	0.128 	0.127 	: 	0.123 	: 	0.059 	0.117 	: 	: 	0.113 	0.112 	: 	0.165 	: 	0.148 	0.245 	0.21 	0.208 	0.103 	0.101 	0.081 	0.143 	0.067 	0.159 	0.188 	0.23 	0.059 	0.224 	0.236 	0.108 p
A,AVI,P_MHAB,BE	: 	: 	: 	0.101 	0.101 	: 	0.101 	0.101 	: 	: 	0.101 	0.1 	: 	0.099 	: 	0.296 	0.658 	0.197 	0.049 	0.245 	0.586 	0.458 	0.63 	0.483 	0.24 	0.574 	0.642 	0.496 	0.281 	0.186 	0.415 	0.082 	0.27 	0.388 p
A,AVI,P_MHAB,BG	: 	: 	: 	: 	: 	0.111 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.068 	: 
A,AVI,P_MHAB,BR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.006 	: 	0.005 	: 	0.006 	: 	: 	0.001 	: 	: 	0.006 	0.006 	: 	0.016 	0.027 	0.058 	0.008 	0.016 	0.041 	0.015 	: 
A,AVI,P_MHAB,CA	: 	0.04 	0.08 	: 	: 	0.155 	0.038 	: 	: 	0.055 	0.156 	0.143 	0.079 	0.218 	0.138 	0.188 	0.104 	0.134 	0.182 	0.362 	0.261 	0.129 	0.277 	0.171 	0.504 	0.134 	0.353 	0.434 	0.492 	0.405 	0.337 	0.267 	0.515 	: 
A,AVI,P_MHAB,CH	0.159 	0.631 	: 	: 	0.156 	0.465 	0.771 	0.996 	1.218 	0.453 	0.45 	0.148 	0.438 	0.145 	0.431 	0.59 	0.566 	0.424 	2.231 	1.123 	1.117 	0.763 	0.62 	1.06 	0.758 	0.854 	0.961 	0.858 	0.439 	1.898 	0.712 	0.381 	0.617 	1.161 p
A,AVI,P_MHAB,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.746 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.401 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,AVI,P_MHAB,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.097 	0.097 	: 	0.098 	0.098 	: 	: 	: 	: 	: 	0.096 	: 	: 	0.19 	: 
A,AVI,P_MHAB,DE	0.334 	0.311 	0.373 	0.325 	0.489 	0.483 	0.643 	0.886 	0.795 	0.758 	0.601 	0.702 	0.63 	0.541 	0.376 	0.562 	0.714 	0.875 	0.961 	1.132 	1.208 	0.941 	1.284 	1.761 	1.802 	1.725 	1.751 	2.393 	2.457 	2.682 	2.365 	2.506 	2.635 	2.694 p
A,AVI,P_MHAB,DK	: 	0.39 	: 	0.391 	: 	0.196 	: 	0.195 	0.195 	: 	0.195 	: 	0.194 	0.193 	0.192 	: 	0.571 	0.379 	0.189 	0.314 	0.563 	: 	0.186 	1.115 	1.421 	0.739 	0.737 	0.571 	0.183 	1.814 	0.723 	1.349 	0.538 	0.477 p
A,AVI,P_MHAB,EA18	0.2 	0.168 	0.174 	0.187 	0.24 	0.278 	0.277 	0.383 	0.428 	0.407 	0.414 	0.4 	0.404 	0.346 	0.324 	0.323 	0.441 	0.518 	0.514 	0.547 	0.575 	0.649 	0.744 	0.904 	1.001 	0.978 	1.068 	1.38 	1.369 	1.473 	1.433 	1.604 	1.633 	1.419 p
A,AVI,P_MHAB,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.395 	0.399 	0.342 	0.32 	0.319 	0.436 	0.512 	0.508 	0.54 	0.568 	0.642 	0.736 	0.897 	0.991 	0.968 	1.057 	1.366 	1.356 	1.459 	1.42 	1.589 	1.618 	1.406 p
A,AVI,P_MHAB,EL	: 	: 	: 	0.102 	0.101 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.186 	0.092 	0.184 	0.046 	0.091 	0.091 	: 	0.091 	: 	: 	: 	: 	: 	: 
A,AVI,P_MHAB,ES	0.027 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.026 	0.013 	0.026 	: 	0.076 	0.051 	0.051 	0.252 	0.151 	0.15 	0.124 	0.146 	0.12 	0.223 	0.352 	0.439 	0.573 	0.558 	0.652 	0.688 	0.582 	0.819 	0.777 p
A,AVI,P_MHAB,EU28	0.151 	0.156 	0.168 	0.182 	0.213 	0.23 	0.26 	0.334 	0.37 	0.346 	0.361 	0.332 	0.308 	0.263 	0.292 	0.253 	0.354 	0.417 	0.428 	0.471 	0.484 	0.544 	0.574 	0.708 	0.796 	0.761 	0.864 	1.065 	1.08 	1.22 	1.18 	1.289 	1.3 	1.152 p
